v_Bmp2,v_Dkk1,v_Fgf8,v_Foxc1_2,v_GATAs,v_Isl1,v_Mesp1,v_Nkx2_5,v_Tbx1,v_Tbx5,v_canWnt,v_exogen_BMP2_I,v_exogen_BMP2_II,v_exogen_CanWnt_I,v_exogen_canWnt_II,time,trajectory,isattractor
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,8,1
0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,9,0
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,9,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,2,9,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,3,9,1
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,9,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1
1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,11,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,11,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,2,11,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,11,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,11,1
1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,12,0
0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,12,0
0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,12,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,12,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,12,0
1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,13,0
0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,13,0
0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,2,13,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,13,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,4,13,0
0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,14,0
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,14,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,14,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,14,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,14,1
0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,1
0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,16,0
1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,16,0
1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,16,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,16,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,16,1
0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,17,0
0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,17,0
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,2,17,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,17,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,17,1
0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,18,0
0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,18,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,2,18,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,18,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,18,1
1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,19,0
1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,19,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,2,19,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,3,19,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,19,1
0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,20,0
0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,20,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,2,20,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,3,20,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,20,1
1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,21,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,21,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,21,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,21,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,21,1
1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,22,0
1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,22,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,2,22,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,3,22,1
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,22,1
0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,23,0
1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,23,0
0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,23,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,3,23,1
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,23,1
1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,24,0
0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,24,0
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,24,0
0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,3,24,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,24,1
1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,25,0
1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,25,0
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,2,25,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,3,25,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,25,1
1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,26,0
1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,26,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,2,26,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,3,26,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,26,1
1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,27,0
0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,27,0
0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,27,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,3,27,1
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,27,1
0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,28,0
0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,28,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,2,28,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,28,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,28,1
1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,29,0
1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,29,0
0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,29,0
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,29,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,29,1
0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,30,0
1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,30,0
0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,2,30,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,3,30,1
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,30,1
1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,31,0
0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,31,0
1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,2,31,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,31,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,31,1
1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,32,0
0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,32,0
0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,2,32,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,3,32,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,32,1
0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,33,0
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,33,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,33,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,33,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,33,1
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,34,0
0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,34,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,34,0
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,34,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,34,1
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,35,0
0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,35,0
0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,35,0
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,35,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,35,1
1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,36,0
0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,36,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,2,36,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,36,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,36,1
1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,37,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,37,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,37,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,37,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,37,1
0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,38,0
0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,38,0
0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,2,38,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,38,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,38,0
1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,39,0
1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,39,0
1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,39,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,39,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,39,1
0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,40,0
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,40,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,2,40,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,40,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,40,1
1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,41,0
0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,41,0
0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,2,41,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,41,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,4,41,0
0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,42,0
0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,42,0
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,2,42,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,3,42,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,42,1
1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,43,0
0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,43,0
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,2,43,0
1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,43,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,43,1
0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,44,0
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,44,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,2,44,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,3,44,1
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,44,1
0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,45,0
0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,45,0
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,45,0
0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,3,45,0
0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,4,45,0
0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,46,0
1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,46,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,46,0
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,46,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,46,1
0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,47,0
0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,47,0
0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,2,47,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,47,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,4,47,0
1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,48,0
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,48,0
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,2,48,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,48,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,48,1
0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,49,0
0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,49,0
0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,2,49,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,49,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,4,49,0
0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,50,0
1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,50,0
1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,50,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,50,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,50,1
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,51,0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,51,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,51,0
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,51,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,51,1
0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,52,0
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,52,0
1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,2,52,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,52,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,52,1
0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,53,0
1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,53,0
0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,2,53,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,53,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,53,1
1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,54,0
0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,54,0
0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,2,54,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,54,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,4,54,0
0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,55,0
1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,55,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,2,55,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,3,55,1
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,55,1
1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,56,0
1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,56,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,56,0
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,56,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,56,1
1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,57,0
0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,57,0
0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,2,57,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,3,57,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,57,1
0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,58,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,58,0
0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,2,58,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,3,58,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,58,1
0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,59,0
0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,59,0
0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,2,59,0
1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,3,59,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,4,59,0
1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,60,0
0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,60,0
0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,2,60,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,3,60,1
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,60,1
0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,61,0
0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,61,0
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,2,61,0
1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,61,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,61,1
1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,62,0
1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,62,0
0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,2,62,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,3,62,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,62,1
1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,63,0
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,63,0
1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,2,63,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,63,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,63,1
0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,64,0
0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,64,0
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,2,64,0
0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,3,64,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,64,1
1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,65,0
0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,65,0
0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,65,0
0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,3,65,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,65,1
1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,66,0
0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,66,0
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,2,66,0
0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,3,66,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,66,1
0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,67,0
0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,67,0
0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,2,67,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,3,67,0
0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,4,67,1
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,68,0
1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,68,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,68,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,68,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,68,1
1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,69,0
1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,69,0
1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,2,69,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,69,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,69,1
